id,resort_name,town,prefecture,latitude,longitude,url_path,name_ja,address_ja
26,Chikusa Kogen,Shiso,Hyogo,35.2186928,134.3877563,hyogo/shiso/chikusa-kogen-nature-land,ちくさ高原,(兵庫県 宍粟市)
27,Chokai Kogen Yashima,Yurihonjo,Akita,39.1908349,140.0921195,akita/yurihonjo/chokai-kogen-yashima,鳥海高原 矢島,(秋田県 由利本荘市)
30,Dynaland,Gujo,Gifu,35.9903753,136.8702425,gifu/gujo/dynaland,ダイナランド,(岐阜県 郡上市)
32,Engaru Rock Valley,Engaru,Hokkaido,44.0219349,143.4958419,hokkaido/engaru/engaru-rock-valley,えんがるロックバレー,(北海道 遠軽町)
33,Fairy Land Kaneyama,Kaneyama,Fukushima,37.4447465,139.5351143,fukushima/kaneyama-fukushima/fairy-land-kaneyama,フェアリーランドかねやま,(福島県 金山町)
37,Fujiwara,Minakami,Gunma,36.8966897,139.0817124,gunma/minakami/minakami-kogen-fujiwara,藤原,(群馬県 みなかみ町)
38,Fujiyama Snow Resort Yeti,Susono,Shizuoka,35.300021,138.768364,shizuoka/susono/snow-town-yeti,フジヤマ スノーリゾート イエティ,(静岡県 裾野市)
41,Geihoku Kokusai,Kita Hiroshima,Hiroshima,34.709421,132.2376026,hiroshima/kita-hiroshima/geihoku-kokusai,芸北国際,(広島県 北広島町)
42,Geto Kogen,Kitakami,Iwate,39.236631,140.906277,iwate/kitakami/geto-kogen,夏油高原,(岩手県 北上町)
43,Gokase Highland,Gokase,Miyazaki,32.5790313,131.1177451,miyazaki/gokase/gokase-highland,五ヶ瀬ハイランド,(宮崎県 五ヶ瀬町)
44,Grandeco Snow Resort,Kita Shiobara,Fukushima,37.6955102,140.1327019,fukushima/kita-shiobara/grandeco-snow-resort,グランデコスノーリゾート,(福島県 北塩原村)
45,Grandee Hatoriko Ski Resort,Tenei,Fukushima,37.217492,140.0279215,fukushima/tenei/grandee-hatoriko-ski-resort,グランディ羽鳥湖スキーリゾート,(福島県 天栄村)
46,GRANSNOW Okuibuki,Maibara,Shiga,35.5216216,136.3867294,shiga/maibara/oku-ibuki,GRANSNOW奥伊吹,(滋賀県 米原市)
47,Greenpia Onuma,Mori,Hokkaido,42.0009957,140.6015243,hokkaido/mori/greenpia-onuma,グリーンピア大沼,(北海道 森町)
48,Gujo Vacance Mura,Gujo,Gifu,35.9764265,136.9394447,gifu/gujo/gujo-kogen,郡上ヴァカンス村,(岐阜県 郡上市)
49,Hachi Kita Kogen,Kami,Hyogo,35.4076414,134.5539185,hyogo/kami-hyogo/hachi-kita-kogen,ハチ北高原,(兵庫県 香美町)
50,Hachi Kogen,Yabu,Hyogo,35.3850321,134.5352755,hyogo/yabu/hachi-kogen,ハチ高原,(兵庫県 養父市)
51,Hachimantai Resort Panorama,Hachimantai,Iwate,39.8943758,140.9753814,iwate/hachimantai/hachimantai-resort-panorama,八幡平リゾートパノラマ,(岩手県 八幡平町)
52,Hachimantai Tayama,Hachimantai,Iwate,40.1438424,140.9554132,iwate/hachimantai/hachimantai-tayama,八幡平市田山,(岩手県 八幡平町)
54,Hagurosan,Tsuruoka,Yamagata,38.7023743,139.9827131,yamagata/tsuruoka/hagurosan,羽黒山,(山形県 鶴岡市)
55,Hakkai Sanroku,Minamiuonuma,Niigata,37.1545927,138.9740149,niigata/minamiuonuma/hakkai-sanroku,八海山麓,(新潟県 南魚沼市)
56,Hakkoda,Aomori,Aomori,40.6647741,140.912122,aomori/aomori/hakkoda,八甲田,(青森県 青森市)
57,Hakodate Nanae Snow Park,Nanae,Hokkaido,41.9865313,140.7467111,hokkaido/nanae/hakodate-nanae-snow-park,函館七飯スノーパーク,(北海道 七飯町)
58,Hakodateyama,Takashima,Shiga,35.4276315,135.9959043,shiga/takashima/hakodateyama,箱館山,(滋賀県 高島市)
59,Hakuba 47 Winter Sports Park,Hakuba,Nagano,36.685,137.8283333,nagano/hakuba/hakuba-47-winter-sports-park,Hakuba47ウインタースポーツパーク,(長野県 白馬村)
60,Hakuba Cortina,Otari,Nagano,36.7763409,137.8886568,nagano/otari/hakuba-cortina,白馬コルチナ,(長野県 小谷村)
61,Hakuba Happo-one,Hakuba,Nagano,36.7022164,137.833887,nagano/hakuba/hakuba-happo-one,白馬八方尾根,(長野県 白馬村)
62,Hakuba Iwatake Snow Field,Hakuba,Nagano,36.715276,137.85706,nagano/hakuba/hakuba-iwatake-snow-field,白馬岩岳スノーフィールド,(長野県 白馬村)
63,Hakuba Norikura Onsen,Otari,Nagano,36.7658832,137.8739806,nagano/otari/hakuba-norikura-onsen,白馬乗鞍温泉,(長野県 小谷村)
65,Hakuba Valley Kashimayari,Omachi,Nagano,36.5969431,137.8254561,nagano/omachi/kashimayari-sports-village,HAKUBA VALLEY鹿島槍,(長野県 大町市)
66,Hakusan Ichirino Onsen,Hakusan,Ishikawa,36.2684053,136.7165704,ishikawa/hakusan/hakusan-ichirino-onsen,白山一里野温泉,(石川県 白山市)
67,Hakusan Seymour,Hakusan,Ishikawa,36.3470779,136.6777617,ishikawa/hakusan/hakusan-seymour,白山セイモア,(石川県 白山市)
68,Hanagasa Kogen,Obanazawa,Yamagata,38.5367155,140.5087916,yamagata/obanazawa/hanagasa-kogen,花笠高原,(山形県 尾花沢市)
69,Hanawa,Kazuno,Akita,40.2075515,140.8429539,akita/kazuno/hanawa,花輪,(秋田県 鹿角市)
70,Hidafunayama Snow Resort Alcopia,Takayama,Gifu,36.0392401,137.2612545,gifu/takayama-gifu/hidafunayama-snow-resort-alcopia,ひだ舟山スノーリゾートアルコピア,(岐阜県 高山市)
71,Hidaka Kokusai,Hidaka,Hokkaido,42.8705009,142.4465299,hokkaido/hidaka/hidaka-kokusai,日高国際,(北海道 日高町)
72,Hiraya Kogen,Hiraya,Nagano,35.3232905,137.6302506,nagano/hiraya/hiraya-kogen,平谷高原,(長野県 平谷村)
73,Hirayu Onsen,Takayama,Gifu,36.1845001,137.557011,gifu/takayama-gifu/hirayu-onsen,平湯温泉,(岐阜県 高山市)
74,Hirugano Kogen,Gujo,Gifu,36.0060101,136.9078445,gifu/gujo/hirugano-kogen,ひるがの高原,(岐阜県 郡上市)
75,Hiruzen Bear Valley,Maniwa,Okayama,35.2612212,133.5963226,okayama/maniwa/hiruzen-bear-valley,ひるぜんベアバレー,(岡山県 真庭市)
76,Hiruzen Kids Snow Park,Maniwa,Okayama,35.3226018,133.6809349,okayama/maniwa/hiruzen-kids-snow-park,ひるぜんキッズスノーパーク,(岡山県 真庭市)
78,Hoshino Resort Alts Bandai,Bandai,Fukushima,37.5857807,140.0336165,fukushima/bandai/hoshino-resort-alts-bandai,アルツ磐梯,(福島県 磐梯町)
80,Hoshino Resort Urabandai Nekoma,Kita Shiobara,Fukushima,37.651018,140.0624219,fukushima/kita-shiobara/urabandai-nekoma,星野リゾート 裏磐梯猫魔,(福島県 北塩原村)
81,Hounokidaira,Takayama,Gifu,36.1758065,137.4910015,gifu/takayama-gifu/hounokidaira,ほおのき平,(岐阜県 高山市)
82,Hunter Mountain Shiobara,Nasu Shiobara,Tochigi,36.9381364,139.7539208,tochigi/nasu-shiobara/hunter-mountain-shiobara,ハンターマウンテン塩原,(栃木県 那須塩原市)
83,Hyonosen Kokusai,Yabu,Hyogo,35.369888,134.539221,hyogo/yabu/hyonosen-kokusai,氷ノ山国際,(兵庫県 養父市)
84,Hyperbowl Tohachi,Yabu,Hyogo,35.3858828,134.5665393,hyogo/yabu/hyperbowl-tohachi,ハイパーボウル東鉢,(兵庫県 養父市)
85,Iizuna Resort,Iizuna,Nagano,36.737546,138.170689,nagano/iizuna/iizuna-resort,いいづなリゾート,(長野県 飯綱町)
86,Ikawa Skijo Kainayama,Miyoshi,Tokushima,33.9510606,133.8922281,tokushima/miyoshi/ikawa-skijo-kainayama,井川スキー場腕山,(徳島県 三好市)
87,Ikenotaira Onsen,Myoko,Niigata,36.8725467,138.171897,niigata/myoko/ikenotaira-onsen,池の平温泉,(新潟県 妙高市)
88,Imajo 365,Minami Echizen,Fukui,35.7232687,136.1483891,fukui/minami-echizen/imajo-365,今庄365,(福井県 南越前町)
89,Inawashiro,Inawashiro,Fukushima,37.4968398,140.0620321,fukushima/inawashiro/inawashiro,猪苗代,(福島県 猪苗代町)
90,Inawashiro Resort,Inawashiro,Fukushima,37.5780572,140.0604577,fukushima/inawashiro/inawashiro-resort,猪苗代リゾート,(福島県 猪苗代町)
91,IOX-AROSA,Nanto,Toyama,36.5151234,136.8221672,toyama/nanto/iox-arosa,イオックス・アローザ,(富山県 南砺市)
92,Ishiuchi Hanaoka,Minamiuonuma,Niigata,36.9907057,138.7992058,niigata/minamiuonuma/ishiuchi-hanaoka,石打花岡,(新潟県 南魚沼市)
93,Ishiuchi Maruyama,Minamiuonuma,Niigata,36.9778394,138.7976818,niigata/minamiuonuma/ishiuchi-maruyama,石打丸山,(新潟県 南魚沼市)
94,Ishizuchi,Saijo,Ehime,33.7682517,133.1142954,ehime/saijo/ishizuchi,石鎚,(愛媛県 西条市)
95,Iwakisan Hyakuzawa,Hirosaki,Aomori,40.6559319,140.3029642,aomori/hirosaki/iwakisan-hyakuzawa,岩木山百沢,(青森県 弘前市)
96,Iwappara,Yuzawa,Niigata,36.938189,138.84056,niigata/yuzawa/iwappara,岩原,(新潟県 湯沢町)
97,Iwate Kogen Snow Park,Shizukuishi,Iwate,39.813893,140.9662195,iwate/shizukuishi/iwate-kogen-snow-park,岩手高原スノーパーク,(岩手県 雫石町)
98,Jeunesse Kurikoma,Higashinaruse,Akita,39.1589601,140.7262223,akita/higashinaruse/jeunesse-kurikoma,ジュネス栗駒,(秋田県 東成瀬村)
99,Jibuzaka Kogen,Achi,Nagano,35.3713089,137.6602824,nagano/achi/jibuzaka-kogen,治部坂高原,(長野県 阿智村)
101,Joetsu Kokusai,Minamiuonuma,Niigata,37.0322462,138.8213625,niigata/minamiuonuma/joetsu-kokusai,上越国際,(新潟県 南魚沼市)
102,Kagamiganaru,Kofu,Tottori,35.3442525,133.5913739,tottori/kofu/kagamiganaru,鏡ヶ成,(鳥取県 江府町)
103,Kagura,Yuzawa,Niigata,36.8598524,138.7265013,niigata/yuzawa/kagura,かぐら,(新潟県 湯沢町)
104,Kaida Kogen Mia,Kiso,Nagano,35.9302824,137.5300732,nagano/kiso/kaida-kogen-mia,開田高原マイア,(長野県 木曽町)
105,Kamui Ski Links,Asahikawa,Hokkaido,43.704967,142.187102,hokkaido/asahikawa/kamui-ski-links,カムイスキーリンクス,(北海道 旭川市)
110,Kawaba,Kawaba,Gunma,36.769623,139.109315,gunma/kawaba/kawaba,川場,(群馬県 川場村)
111,Kazawa Snow Area,Tsumagoi,Gunma,36.4713596,138.4296237,gunma/tsumagoi/kazawa-snow-area,鹿沢スノーエリア,(群馬県 嬬恋村)
112,Kiroro,Akaigawa,Hokkaido,43.0756111,140.9823481,hokkaido/akaigawa/kiroro-snow-world,キロロスノーワールド,(北海道 赤井川村)
113,Kita Shiga Komaruyama,Yamanouchi,Nagano,36.794799,138.448638,nagano/yamanouchi/kita-shiga-komaruyama,北志賀小丸山,(長野県 山之内町)
114,Kita Shinshu Kijimadaira,Kijimadaira,Nagano,36.8198644,138.4033186,nagano/kijimadaira/kita-shinshu-kijimadaira,北信州 木島平,(長野県 木島平村)
116,Koeji,Oshu,Iwate,39.154688,141.359271,iwate/oshu/koeji,越路,(岩手県 奥州町)
117,Koide,Uonuma,Niigata,37.2335129,138.953577,niigata/uonuma/koide,小出,(新潟県 魚沼市)
119,Kokusetsu Horotachi,Horokanai,Hokkaido,44.0153113,142.1356223,hokkaido/horokanai/kokusetsu-horotachi,国設ほろたち,(北海道 幌加内町)
120,Komagane Kogen,Komagane,Nagano,35.7389891,137.8897044,nagano/komagane/komagane-kogen,駒ヶ根高原,(長野県 駒ヶ根市)
121,Kotobiki Forest Park,Iinan,Shimane,35.054868,132.768207,shimane/iinan/kotobiki-forest-park,琴引フォレストパーク,(島根県 飯南町)
122,Koumi Re-Ex Ski Valley,Koumi,Nagano,36.05431,138.4116251,nagano/koumi/koumi-riekkusu-ski-valley,小海リエックス・スキーバレー,(長野県 小海町)
123,Kujyu Shinrin Koen,Kokonoe,Oita,33.1082158,131.2913574,oita/kokonoe/kujyu,九重森林公園,(大分県 九重町)
124,Kuma Ski Land,Kuma Kogen,Ehime,33.718494,132.874481,ehime/kuma-kogen/kuma-ski-land,久万スキーランド,(愛媛県 久万高原町)
125,Kunimidaira,Oshu,Iwate,39.0595741,140.9701424,iwate/oshu/kunimidaira,国見平,(岩手県 奥州町)
126,Kunizakai Kogen Snow Park,Takashima,Shiga,35.5357879,136.0924978,shiga/takashima/kunizakai-kogen-snow-park,国境高原スノーパーク,(滋賀県 高島市)
127,Kurobushi Kogen Snow Park Jangle Jungle,Higashine,Yamagata,38.4359763,140.5435039,yamagata/higashine/kurobushi-kogen-snow-park-jangle-jungle,黒伏高原スノーパーク ジャングル・ジャングル,(山形県 東根市)
128,Kurohime Kogen Snow Park,Shinano,Nagano,36.8264004,138.1619578,nagano/shinano/kurohime-kogen-snow-park,黒姫高原スノーパーク,(長野県 信濃町)
129,Kurumayama Kogen SKYPARK,Chino,Nagano,36.1020748,138.208437,nagano/chino/kurumayama-kogen,車山高原SKYPARK,(長野県 茅野市)
130,Kusatsu Onsen,Kusatsu,Gunma,36.6228353,138.5967109,gunma/kusatsu/kusatsu-onsen,草津温泉,(群馬県 草津町)
131,Kutsuki Snow Park,Takashima,Shiga,35.3290461,135.9397655,shiga/takashima/kutsuki-snow-park,朽木スノーパーク,(滋賀県 高島市)
132,Kyukamura Myoko RunRun,Myoko,Niigata,36.9117698,138.1686326,niigata/myoko/kyukamura-myoko-run-run,休暇村妙高ルンルン,(新潟県 妙高市)
133,Listel Ski Fantasia,Inawashiro,Fukushima,37.543172,140.149645,fukushima/inawashiro/listel-ski-fantasia,リステル スキーファンタジア,(福島県 猪苗代町)
134,Madarao Mountain Resort,Iiyama,Nagano,36.852525,138.289569,nagano/iiyama/madarao-kogen,斑尾高原,(長野県 飯山市)
135,Maiko Snow Resort,Minamiuonuma,Niigata,36.9823535,138.8245005,niigata/minamiuonuma/maiko-snow-resort,舞子スノーリゾート,(新潟県 南魚沼市)
136,Makado Onsen,Noheji,Aomori,40.87519,141.07075,aomori/noheji/makado-onsen,まかど温泉,(青森県 野辺地町)
137,Manba,Toyooka,Hyogo,35.460472,134.6889442,hyogo/toyooka/manba,万場,(兵庫県 豊岡市)
138,Manza Onsen,Tsumagoi,Gunma,36.6406003,138.5087179,gunma/tsumagoi/manza-onsen,万座温泉,(群馬県 嬬恋村)
139,Marunuma Kogen,Katashina,Gunma,36.8149244,139.330278,gunma/katashina/marunuma-kogen,丸沼高原,(群馬県 片品村)
140,Mashike Choei Syokanbetsudake,Mashike,Hokkaido,43.8096233,141.5289522,hokkaido/mashike/mashike-choei-syokanbetsudake,増毛町営暑寒別岳,(北海道 増毛町)
141,Matsudai Family,Tokamachi,Niigata,37.1270111,138.6056347,niigata/tokamachi/matsudai-family,まつだいファミリー,(新潟県 十日町市)
143,Megahira Onsen Megahira,Hatsukaichi,Hiroshima,34.498465,132.14386,hiroshima/hatsukaichi/megahira-onsen-megahira,女鹿平温泉めがひら,(広島県 廿日市市)
144,Meiho,Gujo,Gifu,35.941763,137.042953,gifu/gujo/meihou,めいほう,(岐阜県 郡上市)
145,Memuro,Memuro,Hokkaido,42.9119137,143.0508638,hokkaido/memuro/memuro,メムロ,(北海道 芽室町)
146,Minakami Hodaigi,Minakami,Gunma,36.8257736,139.0765422,gunma/minakami/minakami-houdaigi,水上宝台樹,(群馬県 みなかみ町)
147,Minakami Kogen Ski Resort,Minakami,Gunma,36.8554132,139.0759736,gunma/minakami/minakami-kogen-ski-resort,水上高原スキーリゾート,(群馬県 みなかみ町)
150,Miyagi Zao Eboshi,Zao,Miyagi,38.1266811,140.5287472,miyagi/zao/miyagi-zao-eboshi,みやぎ蔵王えぼし,(宮城県 蔵王町)
151,Miyagi Zao Shiroishi,Shiroishi,Miyagi,38.0980663,140.6587766,miyagi/shiroishi/miyagi-zao-shiroishi,みやぎ蔵王白石,(宮城県 白石市)
152,Miyagi Zao Sumikawa Snow Park,Zao,Miyagi,38.1349194,140.4948378,miyagi/zao/miyagi-zao-sumikawa-snow-park,宮城蔵王すみかわスノーパーク,(宮城県 蔵王町)
153,Mizuho Highland,Ohnan,Shimane,34.8155267,132.4006181,shimane/ohnan/mizuho-highland,瑞穂ハイランド,(島根県 邑南町)
154,Montdeus Hidakuraiyama Snow Park,Takayama,Gifu,36.0615516,137.2262541,gifu/takayama-gifu/mondeus-hidakuraiyama-snow-park,モンデウス飛騨位山スノーパーク,(岐阜県 高山市)
156,Moya Hills,Aomori,Aomori,40.7366202,140.7940869,aomori/aomori/moya-hills,モヤヒルズ,(青森県 青森市)
157,Mt Granview,Minamiuonuma,Niigata,36.9999711,138.8052187,niigata/minamiuonuma/mt-granview,Mtグランビュー,(新潟県 南魚沼市)
159,Mt Norikura Snow Resort,Matsumoto,Nagano,36.7489715,137.8661573,nagano/matsumoto/mt-norikura,Mt.乗鞍スノーリゾート,(長野県 松本市)
160,Muica Snow Resort,Minamiuonuma,Niigata,37.0714127,138.8460142,niigata/minamiuonuma/muikamachi-ski-resort,ムイカ スノーリゾート,(新潟県 南魚沼市)
161,Muikamachi Hakkaisan,Minamiuonuma,Niigata,37.1079454,138.9777766,niigata/minamiuonuma/muikamachi-hakkaisan,六日町八海山,(新潟県 南魚沼市)
162,Mutsushi Kamafuseyama,Mutsu,Aomori,41.2597824,141.1178246,aomori/mutsu/mutsushi-kamafuseyama,むつ市釜臥山,(青森県 むつ市)
166,Nakasato Kiyotsu,Tokamachi,Niigata,37.022328,138.7276851,niigata/tokamachi/nakasato-kiyotsu,なかさと清津,(新潟県 十日町市)
167,Namari Onsen,Hanamaki,Iwate,39.4651445,140.9926848,iwate/hanamaki/namari-onsen,鉛温泉,(岩手県 花巻町)
168,Nayoro Piyashiri,Nayoro,Hokkaido,44.4044208,142.51344,hokkaido/nayoro/nayoro-piyashiri,名寄ピヤシリ,(北海道 名寄市)
170,Nihonmatsu Shiozawa,Nihonmatsu,Fukushima,37.6402568,140.3341872,fukushima/nihonmatsu/nihonmatsu-shiozawa,二本松塩沢,(福島県 二本松市)
171,Nikko Yumoto Onsen,Nikko,Tochigi,36.8061966,139.4248929,tochigi/nikko/nikko-yumoto-onsen,日光湯元温泉,(栃木県 日光市)
172,Ninox Snow Park,Shibata,Niigata,37.9268164,139.4679026,niigata/shibata/ninohji-snow-park-ninox,ニノックススノーパーク,(新潟県 新発田市)
173,Niseko Annupuri Kokusai,Niseko,Hokkaido,42.8474716,140.6479506,hokkaido/niseko/niseko-annupuri-kokusai,ニセコアンヌプリ国際,(北海道 ニセコ町)
174,Niseko Mountain Resort Grand Hirafu,Kutchan,Hokkaido,42.8616735,140.6981106,hokkaido/kutchan/niseko-mountain-resort-grand-hirafu,ニセコマウンテンリゾートグラン・ヒラフ,(北海道 倶知安町)
175,Niseko Village Ski Resort,Niseko,Hokkaido,42.8469779,140.6843228,hokkaido/niseko/niseko-village-ski-resort,ニセコビレッジスキーリゾート,(北海道 ニセコ町)
176,Nomugitoge,Matsumoto,Nagano,36.0484101,137.7092373,nagano/matsumoto/nomugitoge,野麦峠,(長野県 松本市)
178,Northern Arc Resort,Kitami,Hokkaido,43.8697874,143.9248614,hokkaido/kitami/northern-arc-resort,ノーザンアークリゾート,(北海道 北見市)
179,Nozawa Onsen,Nozawa Onsen,Nagano,36.9206775,138.4523232,nagano/nozawa-onsen/nozawa-onsen,野沢温泉,(長野県 野沢温泉村)
180,Nukabira Gensenkyo,Kamishihoro,Hokkaido,43.3638903,143.1870349,hokkaido/kamishihoro/nukabira-gensenkyo,ぬかびら源泉郷,(北海道 上士幌町)
181,Numajiri,Inawashiro,Fukushima,37.5986639,140.1287568,fukushima/inawashiro/numajiri,沼尻,(福島県 猪苗代町)
182,Oguna Hotaka,Katashina,Gunma,36.7807776,139.1679722,gunma/katashina/snowpal-oguna-hotaka,オグナほたか,(群馬県 片品村)
183,Ojiro,Kami,Hyogo,35.4559626,134.5365005,hyogo/kami-hyogo/ojiro,おじろ,(兵庫県 香美町)
184,Oku Kannabe,Toyooka,Hyogo,35.5033333,134.6822222,hyogo/toyooka/oku-kannabe,奥神鍋,(兵庫県 豊岡市)
185,Okunakayama Kogen,Ichinohe,Iwate,40.0833678,141.1904626,iwate/ichinohe/okunakayama-kogen,奥中山高原,(岩手県 一戸町)
186,Okutone Snow Park,Minakami,Gunma,36.799041,139.009219,gunma/minakami/okutone-snow-park,奥利根スノーパーク,(群馬県 みなかみ町)
187,Onikoube,Osaki,Miyagi,38.788517,140.6357422,miyagi/osaki/onikoube,オニコウベ,(宮城県 大崎市)
188,Ontake 2240,Otaki,Nagano,35.8629484,137.5285798,nagano/otaki/ontake-2240,おんたけ2240,(長野県 王滝村)
189,Osorakan Snow Park,Akiota,Hiroshima,34.595713,132.146635,hiroshima/akiota/osorakan-snow-park,恐羅漢スノーパーク,(広島県 安芸太田町)
190,Otaru Tenguyama,Otaru,Hokkaido,43.1682627,140.9700209,hokkaido/otaru/otaru-tenguyama,小樽天狗山,(北海道 小樽市)
191,Otoifuji,Otoineppu,Hokkaido,44.7365372,142.293883,hokkaido/otoineppu/otoifuji,音威富士,(北海道 音威子府村)
192,Owani Onsen,Owani,Aomori,40.5076896,140.5646047,aomori/owani/owani-onsen,大鰐温泉,(青森県 大鰐町)
194,Pilatus Tateshina Snow Resort,Chino,Nagano,36.068014,138.301437,nagano/chino/pilatus-tateshina-snow-resort,ピラタス蓼科スノーリゾート,(長野県 茅野市)
195,Pippu,Pippu,Hokkaido,43.8541427,142.4673624,hokkaido/pippu/pippu,ぴっぷ,(北海道 比布町)
196,Pirika,Imakane,Hokkaido,42.513538,140.1913583,hokkaido/imakane/imakane-cho-pilika,ピリカ,(北海道 今金町)
197,Riverwell Ikawa,Shizuoka,Shizuoka,35.2199391,138.2095048,shizuoka/shizuoka/riverwell-ikawa,リバウェル井川,(静岡県 静岡市)
198,Rusutsu Resort,Rusutsu,Hokkaido,42.7529251,140.902423,hokkaido/rusutsu/rusutsu-resort,ルスツリゾート,(北海道 留寿都村)
199,Ryuoo Ski Park,Yamanouchi,Nagano,36.7873081,138.4480924,nagano/yamanouchi/ryuoo-ski-park,竜王スキーパーク,(長野県 山之内町)
200,Sahoro Resort,Shintoku,Hokkaido,43.1664964,142.8133357,hokkaido/shintoku/sahoro-resort,サホロリゾート,(北海道 新得町)
201,Sakae Club,Sakae,Nagano,36.9961054,138.5650926,nagano/sakae/sakae-club,さかえ倶楽部,(長野県 栄村)
202,Saku Ski Garden Parada,Saku,Nagano,36.2944078,138.5103322,nagano/saku/saku-ski-garden-parada,佐久スキーガーデンパラダ,(長野県 佐久市)
203,Santa Present Park Mallows Garande,Asahikawa,Hokkaido,43.7609373,142.3025948,hokkaido/asahikawa/santa-present-park,サンタプレゼントパーク・マロースゲレンデ,(北海道 旭川市)
207,Seki Onsen,Myoko,Niigata,36.905978,138.16083,niigata/myoko/seki-onsen,関温泉,(新潟県 妙高市)
208,Shibetsu Choei Kanayama,Shibetsu-cho,Hokkaido,43.6512742,145.0991336,hokkaido/shibetsu-cho/shibetsu-choei-kanayama,標津町営金山,(北海道 標津町)
209,Shichinohe Choei,Shichinohe,Aomori,40.6980312,141.0989465,aomori/shichinohe/shichinohe-choei,七戸町営,(青森県 七戸町)
240,Sun Meadows Kiyosato,Hokuto,Yamanashi,35.9475542,138.4144551,yamanashi/hokuto/sun-meadows-kiyosato,サンメドウズ清里,(山梨県 北杜市)
241,Sunlaiva,Noboribetsu,Hokkaido,42.5216413,141.1047369,hokkaido/noboribetsu/sunlaiva,サンライバ,(北海道 登別市)
242,Taiheizan Opas,Akita,Akita,39.787416,140.219706,akita/akita/taiheizan-opus,太平山 オーパス,(秋田県 秋田市)
243,Taira,Nanto,Toyama,36.4323951,136.9527949,toyama/nanto/taira,たいら,(富山県 南砺市)
244,Takanbo,Nanto,Toyama,36.3756237,136.8625699,toyama/nanto/takanbo,タカンボー,(富山県 南砺市)
245,Takasu Snow Park,Gujo,Gifu,35.9981595,136.8771639,gifu/gujo/takasu-snow-park,高鷲スノーパーク,(岐阜県 郡上市)
246,Takinouecho Sakuragaoka,Takinoue,Hokkaido,44.1928345,143.0949339,hokkaido/takinoue/takinouecho-sakuragaoka,滝上町桜ヶ丘,(北海道 滝上町)
247,Tambara Ski Park,Numata,Gunma,36.7784595,139.0727102,gunma/numata-gunma/tanbara-ski-park,たんばらスキーパーク,(群馬県 沼田市)
249,Tanigawadake Tenjindaira,Minakami,Gunma,36.8179474,138.9482331,gunma/minakami/tanigawadake-tenjindaira,谷川天神平,(群馬県 みなかみ町)
250,Taranokidai,Tsuruoka,Yamagata,38.6282136,139.9330189,yamagata/tsuruoka/taranokidai,たらのきだい,(山形県 鶴岡市)
251,Tateshina Tokyu,Chino,Nagano,36.0684099,138.2512233,nagano/chino/tateshina-tokyu,蓼科東急,(長野県 茅野市)
256,Togakushi,Nagano,Nagano,36.7424835,138.0850293,nagano/nagano/togakushi,戸隠,(長野県 長野市)
